[ubuntuDockerWorker2] => mem: 0.0774 | hdd: 80% | timestamp: 1713946089.4729903 
[ubuntuDockerWorker3] => mem: 0.0482 | hdd: 77% | timestamp: 1713946091.394993 
[ubuntuDockerWorker1] => mem: 0.0237 | hdd: 80% | timestamp: 1713946091.5550568 
[ubuntuDockerWorker2] => mem: 0.0602 | hdd: 80% | timestamp: 1713946091.6202052 
[ubuntuDockerWorker3] => mem: 0.0384 | hdd: 77% | timestamp: 1713946093.965388 
[ubuntuDockerWorker1] => mem: 0.0431 | hdd: 80% | timestamp: 1713946094.031259 
[ubuntuDockerWorker2] => mem: 0.0392 | hdd: 80% | timestamp: 1713946094.1083412 
[ubuntuDockerWorker3] => mem: 0.0441 | hdd: 77% | timestamp: 1713946095.3466284 
[ubuntuDockerWorker2] => mem: 0.0392 | hdd: 80% | timestamp: 1713946095.384377 
[ubuntuDockerWorker1] => mem: 0.0644 | hdd: 80% | timestamp: 1713946095.411882 
[ubuntuDockerWorker3] => mem: 0.0342 | hdd: 77% | timestamp: 1713946097.6565673 
[ubuntuDockerWorker1] => mem: 0.0429 | hdd: 80% | timestamp: 1713946097.7778292 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946098.1134691 
[ubuntuDockerWorker3] => mem: 0.0215 | hdd: 77% | timestamp: 1713946099.9026396 
[ubuntuDockerWorker1] => mem: 0.0213 | hdd: 80% | timestamp: 1713946100.1304095 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946100.3074367 
[ubuntuDockerWorker3] => mem: 0.0031 | hdd: 77% | timestamp: 1713946101.9285324 
[ubuntuDockerWorker1] => mem: 0.0029 | hdd: 80% | timestamp: 1713946102.199675 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946102.2607648 
[ubuntuDockerWorker3] => mem: 0.0031 | hdd: 77% | timestamp: 1713946104.1536684 
[ubuntuDockerWorker1] => mem: 0.0029 | hdd: 80% | timestamp: 1713946104.3778005 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946104.4964128 
[ubuntuDockerWorker3] => mem: 0.0031 | hdd: 77% | timestamp: 1713946105.4834292 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946105.7786272 
[ubuntuDockerWorker1] => mem: 0.0029 | hdd: 80% | timestamp: 1713946105.8035812 
[ubuntuDockerWorker3] => mem: 0.0031 | hdd: 77% | timestamp: 1713946107.2089677 
[ubuntuDockerWorker1] => mem: 0.0029 | hdd: 80% | timestamp: 1713946107.3925235 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946107.5068038 
[ubuntuDockerWorker3] => mem: 0.0031 | hdd: 77% | timestamp: 1713946109.20745 
[ubuntuDockerWorker1] => mem: 0.0029 | hdd: 80% | timestamp: 1713946109.348302 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946109.4390712 
[ubuntuDockerWorker3] => mem: 0.0031 | hdd: 77% | timestamp: 1713946111.310759 
[ubuntuDockerWorker1] => mem: 0.0029 | hdd: 80% | timestamp: 1713946111.408233 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946111.4648004 
[ubuntuDockerWorker3] => mem: 0.0031 | hdd: 77% | timestamp: 1713946113.26116 
[ubuntuDockerWorker1] => mem: 0.0029 | hdd: 80% | timestamp: 1713946113.5851738 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946113.6154416 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946115.3896494 
[ubuntuDockerWorker1] => mem: 0.0029 | hdd: 80% | timestamp: 1713946115.58324 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946117.2979348 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946118.3210313 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946119.2759874 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946120.2939641 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946121.271815 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946122.2914598 
[ubuntuDockerWorker2] => mem: 0.0095 | hdd: 80% | timestamp: 1713946123.421305 
