[ubuntuDockerWorker1] => mem: 0.0264 | hdd: 0.8 | timestamp: 1714042220.0327957 
[ubuntuDockerWorker2] => mem: 0.0253 | hdd: 0.8 | timestamp: 1714042220.1085148 
[ubuntuDockerWorker3] => mem: 0.0279 | hdd: 0.78 | timestamp: 1714042221.0118804 
[ubuntuDockerWorker2] => mem: 0.0333 | hdd: 0.8 | timestamp: 1714042221.1127944 
[ubuntuDockerWorker1] => mem: 0.0429 | hdd: 0.8 | timestamp: 1714042221.1744578 
[ubuntuDockerWorker3] => mem: 0.004 | hdd: 0.78 | timestamp: 1714042222.1458511 
[ubuntuDockerWorker2] => mem: 0.0338 | hdd: 0.8 | timestamp: 1714042222.1947463 
[ubuntuDockerWorker1] => mem: 0.05 | hdd: 0.8 | timestamp: 1714042222.240229 
[ubuntuDockerWorker3] => mem: 0.0054 | hdd: 0.78 | timestamp: 1714042223.1423824 
[ubuntuDockerWorker2] => mem: 0.0309 | hdd: 0.8 | timestamp: 1714042223.1864328 
[ubuntuDockerWorker1] => mem: 0.0638 | hdd: 0.8 | timestamp: 1714042223.2356477 
[ubuntuDockerWorker3] => mem: 0.0054 | hdd: 0.78 | timestamp: 1714042224.1604187 
[ubuntuDockerWorker2] => mem: 0.0309 | hdd: 0.8 | timestamp: 1714042224.2463107 
[ubuntuDockerWorker1] => mem: 0.0634 | hdd: 0.8 | timestamp: 1714042224.279941 
[ubuntuDockerWorker3] => mem: 0.004 | hdd: 0.78 | timestamp: 1714042225.170516 
[ubuntuDockerWorker2] => mem: 0.0307 | hdd: 0.8 | timestamp: 1714042225.2053115 
[ubuntuDockerWorker1] => mem: 0.0645 | hdd: 0.8 | timestamp: 1714042225.2456465 
[ubuntuDockerWorker3] => mem: 0.0059 | hdd: 0.78 | timestamp: 1714042226.1984758 
[ubuntuDockerWorker2] => mem: 0.031 | hdd: 0.8 | timestamp: 1714042226.2614534 
[ubuntuDockerWorker1] => mem: 0.0661 | hdd: 0.8 | timestamp: 1714042226.320212 
[ubuntuDockerWorker3] => mem: 0.011 | hdd: 0.78 | timestamp: 1714042227.1907797 
[ubuntuDockerWorker2] => mem: 0.0296 | hdd: 0.8 | timestamp: 1714042227.2595515 
[ubuntuDockerWorker1] => mem: 0.0648 | hdd: 0.8 | timestamp: 1714042227.3062975 
[ubuntuDockerWorker3] => mem: 0.0081 | hdd: 0.78 | timestamp: 1714042228.2003362 
[ubuntuDockerWorker2] => mem: 0.0253 | hdd: 0.8 | timestamp: 1714042228.2677782 
[ubuntuDockerWorker1] => mem: 0.0648 | hdd: 0.8 | timestamp: 1714042228.3032794 
[ubuntuDockerWorker2] => mem: 0.0252 | hdd: 0.8 | timestamp: 1714042229.3829627 
[ubuntuDockerWorker3] => mem: 0.0125 | hdd: 0.78 | timestamp: 1714042229.4124107 
[ubuntuDockerWorker1] => mem: 0.0645 | hdd: 0.8 | timestamp: 1714042229.45588 
[ubuntuDockerWorker2] => mem: 0.0268 | hdd: 0.8 | timestamp: 1714042230.6948822 
[ubuntuDockerWorker3] => mem: 0.0097 | hdd: 0.78 | timestamp: 1714042230.7268205 
[ubuntuDockerWorker1] => mem: 0.059 | hdd: 0.8 | timestamp: 1714042230.7484202 
[ubuntuDockerWorker3] => mem: 0.004 | hdd: 0.78 | timestamp: 1714042231.9994214 
[ubuntuDockerWorker1] => mem: 0.066 | hdd: 0.8 | timestamp: 1714042232.040346 
[ubuntuDockerWorker2] => mem: 0.0225 | hdd: 0.8 | timestamp: 1714042232.0873456 
[ubuntuDockerWorker1] => mem: 0.0758 | hdd: 0.8 | timestamp: 1714042233.05093 
[ubuntuDockerWorker3] => mem: 0.0056 | hdd: 0.78 | timestamp: 1714042233.0883946 
[ubuntuDockerWorker2] => mem: 0.0126 | hdd: 0.8 | timestamp: 1714042233.171506 
[ubuntuDockerWorker3] => mem: 0.0154 | hdd: 0.78 | timestamp: 1714042234.7028399 
[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042234.7518406 
[ubuntuDockerWorker1] => mem: 0.0733 | hdd: 0.8 | timestamp: 1714042234.7983534 
[ubuntuDockerWorker3] => mem: 0.0215 | hdd: 0.78 | timestamp: 1714042236.1820364 
[ubuntuDockerWorker1] => mem: 0.0677 | hdd: 0.8 | timestamp: 1714042236.2937095 
[ubuntuDockerWorker2] => mem: 0.0159 | hdd: 0.8 | timestamp: 1714042236.4505718 
[ubuntuDockerWorker3] => mem: 0.0224 | hdd: 0.78 | timestamp: 1714042237.8263495 
[ubuntuDockerWorker2] => mem: 0.0258 | hdd: 0.8 | timestamp: 1714042237.875494 
[ubuntuDockerWorker1] => mem: 0.0607 | hdd: 0.8 | timestamp: 1714042237.9139783 
[ubuntuDockerWorker3] => mem: 0.0196 | hdd: 0.78 | timestamp: 1714042239.0623267 
[ubuntuDockerWorker1] => mem: 0.0522 | hdd: 0.8 | timestamp: 1714042239.096682 
[ubuntuDockerWorker2] => mem: 0.0263 | hdd: 0.8 | timestamp: 1714042239.1281078 
[ubuntuDockerWorker3] => mem: 0.0182 | hdd: 0.78 | timestamp: 1714042240.0652542 
[ubuntuDockerWorker1] => mem: 0.048 | hdd: 0.8 | timestamp: 1714042240.096929 
[ubuntuDockerWorker2] => mem: 0.0324 | hdd: 0.8 | timestamp: 1714042240.1600535 
[ubuntuDockerWorker2] => mem: 0.0268 | hdd: 0.8 | timestamp: 1714042241.1228054 
[ubuntuDockerWorker3] => mem: 0.0252 | hdd: 0.78 | timestamp: 1714042241.1625173 
[ubuntuDockerWorker1] => mem: 0.0366 | hdd: 0.8 | timestamp: 1714042241.279886 
[ubuntuDockerWorker3] => mem: 0.0318 | hdd: 0.78 | timestamp: 1714042242.1340702 
[ubuntuDockerWorker2] => mem: 0.0253 | hdd: 0.8 | timestamp: 1714042242.1957715 
[ubuntuDockerWorker1] => mem: 0.0253 | hdd: 0.8 | timestamp: 1714042242.2308505 
[ubuntuDockerWorker3] => mem: 0.0382 | hdd: 0.78 | timestamp: 1714042243.1220217 
[ubuntuDockerWorker2] => mem: 0.0239 | hdd: 0.8 | timestamp: 1714042243.1867409 
[ubuntuDockerWorker1] => mem: 0.0126 | hdd: 0.8 | timestamp: 1714042243.2344453 
[ubuntuDockerWorker3] => mem: 0.0373 | hdd: 0.78 | timestamp: 1714042244.1439185 
[ubuntuDockerWorker2] => mem: 0.0276 | hdd: 0.8 | timestamp: 1714042244.1835456 
[ubuntuDockerWorker1] => mem: 0.0056 | hdd: 0.8 | timestamp: 1714042244.2291496 
[ubuntuDockerWorker3] => mem: 0.0429 | hdd: 0.78 | timestamp: 1714042245.132022 
[ubuntuDockerWorker2] => mem: 0.0253 | hdd: 0.8 | timestamp: 1714042245.1750402 
[ubuntuDockerWorker1] => mem: 0.0028 | hdd: 0.8 | timestamp: 1714042245.218862 
[ubuntuDockerWorker3] => mem: 0.0445 | hdd: 0.78 | timestamp: 1714042246.1447706 
[ubuntuDockerWorker2] => mem: 0.0183 | hdd: 0.8 | timestamp: 1714042246.2228494 
[ubuntuDockerWorker1] => mem: 0.0056 | hdd: 0.8 | timestamp: 1714042246.27214 
[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042247.1441562 
[ubuntuDockerWorker3] => mem: 0.0636 | hdd: 0.78 | timestamp: 1714042247.188454 
[ubuntuDockerWorker1] => mem: 0.015 | hdd: 0.8 | timestamp: 1714042247.236834 
[ubuntuDockerWorker3] => mem: 0.0649 | hdd: 0.78 | timestamp: 1714042248.3830729 
[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042248.4395344 
[ubuntuDockerWorker1] => mem: 0.0169 | hdd: 0.8 | timestamp: 1714042248.490253 
