{'request_number': 341904, 'result': 29334, 'worker_start_time': 1739767949.4881577, 'waiting_time': 206.96937251091003, 'start_process_time': 153285.153567172, 'real_process_time': 7.241580479982076, 'data_prepare_time': 3.958994057029486e-06, 'finish_time': 153292.39515234, 'user_cpu_time': 5.800000000000011, 'system_cpu_time': 0.0, 'contention_time': 1.4415804799820648, 'cpu_spent_usage': 80.0930130657661, 'request_id': 13, 'predicted_processing_time': 9.325812339782715, 'waiting_jobs': 11, 'response_time': 211.4448904000019}
{'request_number': 110415, 'result': 10479, 'worker_start_time': 1739767956.8364372, 'waiting_time': 214.42784309387207, 'start_process_time': 153292.501846548, 'real_process_time': 1.3844525390013587, 'data_prepare_time': 4.01001307182014e-06, 'finish_time': 153293.88630341, 'user_cpu_time': 1.1300000000000239, 'system_cpu_time': 0.0, 'contention_time': 0.2544525390013348, 'cpu_spent_usage': 81.62071058175255, 'request_id': 12, 'predicted_processing_time': 1.8161108493804932, 'waiting_jobs': 10, 'response_time': 212.82854360000056}
{'request_number': 96969, 'result': 9332, 'worker_start_time': 1739767958.327418, 'waiting_time': 216.02943205833435, 'start_process_time': 153293.992827672, 'real_process_time': 1.1608723910176195, 'data_prepare_time': 3.907014615833759e-06, 'finish_time': 153295.153705479, 'user_cpu_time': 0.9399999999999977, 'system_cpu_time': 0.0, 'contention_time': 0.2208723910176218, 'cpu_spent_usage': 80.97358566482873, 'request_id': 11, 'predicted_processing_time': 1.6529028415679932, 'waiting_jobs': 9, 'response_time': 213.98933430000034}
{'request_number': 438199, 'result': 36801, 'worker_start_time': 1739767959.596848, 'waiting_time': 217.40692377090454, 'start_process_time': 153295.262257389, 'real_process_time': 10.423161667014938, 'data_prepare_time': 3.958004526793957e-06, 'finish_time': 153305.685423952, 'user_cpu_time': 8.359999999999985, 'system_cpu_time': 0.0, 'contention_time': 2.0631616670149526, 'cpu_spent_usage': 80.20598995845934, 'request_id': 10, 'predicted_processing_time': 14.20038890838623, 'waiting_jobs': 8, 'response_time': 224.40991269999358}
{'request_number': 330364, 'result': 28436, 'worker_start_time': 1739767970.126552, 'waiting_time': 228.04575085639954, 'start_process_time': 153305.791961287, 'real_process_time': 6.882017124007689, 'data_prepare_time': 4.1660096030682325e-06, 'finish_time': 153312.673983254, 'user_cpu_time': 5.530000000000001, 'system_cpu_time': 0.0, 'contention_time': 1.3520171240076877, 'cpu_spent_usage': 80.35434815628079, 'request_id': 9, 'predicted_processing_time': 8.835474014282227, 'waiting_jobs': 7, 'response_time': 231.28887479999685}
{'request_number': 404229, 'result': 34171, 'worker_start_time': 1739767977.115037, 'waiting_time': 235.14317798614502, 'start_process_time': 153312.780446475, 'real_process_time': 9.239846498996485, 'data_prepare_time': 4.114001058042049e-06, 'finish_time': 153322.020298026, 'user_cpu_time': 7.420000000000016, 'system_cpu_time': 0.0, 'contention_time': 1.819846498996469, 'cpu_spent_usage': 80.30436437235058, 'request_id': 8, 'predicted_processing_time': 11.834830284118652, 'waiting_jobs': 6, 'response_time': 240.53998960000172}
{'request_number': 29615, 'result': 3214, 'worker_start_time': 1739767986.4612067, 'waiting_time': 244.59747052192688, 'start_process_time': 153322.126616091, 'real_process_time': 0.22593555500498042, 'data_prepare_time': 3.905995981767774e-06, 'finish_time': 153322.35255649, 'user_cpu_time': 0.18999999999999773, 'system_cpu_time': 0.0, 'contention_time': 0.03593555500498269, 'cpu_spent_usage': 84.09477649315065, 'request_id': 7, 'predicted_processing_time': 1.6529028415679932, 'waiting_jobs': 5, 'response_time': 240.77782860001025}
{'request_number': 478643, 'result': 39901, 'worker_start_time': 1739767986.7936544, 'waiting_time': 245.0403437614441, 'start_process_time': 153322.459063928, 'real_process_time': 11.887980650993995, 'data_prepare_time': 3.958004526793957e-06, 'finish_time': 153334.347049631, 'user_cpu_time': 9.52000000000001, 'system_cpu_time': 0.0, 'contention_time': 2.367980650993985, 'cpu_spent_usage': 80.08088404151306, 'request_id': 6, 'predicted_processing_time': 15.276083946228027, 'waiting_jobs': 4, 'response_time': 252.67919489998894}
{'request_number': 128491, 'result': 12032, 'worker_start_time': 1739767998.7883828, 'waiting_time': 257.14502358436584, 'start_process_time': 153334.453791757, 'real_process_time': 1.7323657300148625, 'data_prepare_time': 4.114001058042049e-06, 'finish_time': 153336.186162383, 'user_cpu_time': 1.4000000000000057, 'system_cpu_time': 0.0, 'contention_time': 0.3323657300148568, 'cpu_spent_usage': 80.81434397735372, 'request_id': 5, 'predicted_processing_time': 2.2562365531921387, 'waiting_jobs': 3, 'response_time': 254.42314869999245}
{'request_number': 159785, 'result': 14666, 'worker_start_time': 1739768000.6272614, 'waiting_time': 259.0931043624878, 'start_process_time': 153336.292670759, 'real_process_time': 2.375013056996977, 'data_prepare_time': 3.9590231608599424e-06, 'finish_time': 153338.667688816, 'user_cpu_time': 1.9199999999999875, 'system_cpu_time': 0.0, 'contention_time': 0.45501305699698946, 'cpu_spent_usage': 80.84166082133801, 'request_id': 4, 'predicted_processing_time': 3.1033222675323486, 'waiting_jobs': 2, 'response_time': 256.79601459999685}
{'request_number': 254559, 'result': 22401, 'worker_start_time': 1739768003.109007, 'waiting_time': 261.6665897369385, 'start_process_time': 153338.774416202, 'real_process_time': 4.685059861978516, 'data_prepare_time': 3.958004526793957e-06, 'finish_time': 153343.459480804, 'user_cpu_time': 3.7700000000000102, 'system_cpu_time': 0.0, 'contention_time': 0.9150598619785058, 'cpu_spent_usage': 80.46855560150574, 'request_id': 3, 'predicted_processing_time': 5.836461067199707, 'waiting_jobs': 1, 'response_time': 261.4793301000027}
{'request_number': 465057, 'result': 38845, 'worker_start_time': 1739768007.9005919, 'waiting_time': 266.5668590068817, 'start_process_time': 153343.566001003, 'real_process_time': 11.381071267998777, 'data_prepare_time': 3.90602508559823e-06, 'finish_time': 153354.947081854, 'user_cpu_time': 9.120000000000005, 'system_cpu_time': 0.009999999999999953, 'contention_time': 2.251071267998773, 'cpu_spent_usage': 80.22091932304896, 'request_id': 2, 'predicted_processing_time': 17.04180335998535, 'waiting_jobs': 0, 'response_time': 272.8741990999988}
